id,manifest,license,pages
b18667934,https://iiif.wellcomecollection.org/presentation/v2/b18667934,cc-by-nc,644
b33604368,https://iiif.wellcomecollection.org/presentation/v2/b33604368,pdm,1
b33603406,https://iiif.wellcomecollection.org/presentation/v2/b33603406,pdm,1
b19292260,https://iiif.wellcomecollection.org/presentation/v2/b19292260,cc-by-nc,682
b33220189,https://iiif.wellcomecollection.org/presentation/v2/b33220189,pdm,1
b33222940,https://iiif.wellcomecollection.org/presentation/v2/b33222940,pdm,1
b33219163,https://iiif.wellcomecollection.org/presentation/v2/b33219163,pdm,1
b33224201,https://iiif.wellcomecollection.org/presentation/v2/b33224201,pdm,1
b33220256,https://iiif.wellcomecollection.org/presentation/v2/b33220256,pdm,1
b33219151,https://iiif.wellcomecollection.org/presentation/v2/b33219151,pdm,1
b21366408,https://iiif.wellcomecollection.org/presentation/v2/b21366408,pdm,507
b33220281,https://iiif.wellcomecollection.org/presentation/v2/b33220281,pdm,1
b33074537,https://iiif.wellcomecollection.org/presentation/v2/b33074537,pdm,85
b19646045,https://iiif.wellcomecollection.org/presentation/v2/b19646045,pdm,318
b19372061,https://iiif.wellcomecollection.org/presentation/v2/b19372061,pdm,370
b18763571,https://iiif.wellcomecollection.org/presentation/v2/b18763571,pdm,220
b21418019,https://iiif.wellcomecollection.org/presentation/v2/b21418019,pdm,70
b33064908,https://iiif.wellcomecollection.org/presentation/v2/b33064908,pdm,1
b19616454,https://iiif.wellcomecollection.org/presentation/v2/b19616454,pdm,290
b18934080,https://iiif.wellcomecollection.org/presentation/v2/b18934080,pdm,126
b18749422,https://iiif.wellcomecollection.org/presentation/v2/b18749422,pdm,152
b20642349,https://iiif.wellcomecollection.org/presentation/v2/b20642349,pdm,395
b19470368,https://iiif.wellcomecollection.org/presentation/v2/b19470368,pdm,25
b18934894,https://iiif.wellcomecollection.org/presentation/v2/b18934894,pdm,126
b19367715,https://iiif.wellcomecollection.org/presentation/v2/b19367715,pdm,129
b19267289,https://iiif.wellcomecollection.org/presentation/v2/b19267289,pdm,184
b18934304,https://iiif.wellcomecollection.org/presentation/v2/b18934304,pdm,46
b19616405,https://iiif.wellcomecollection.org/presentation/v2/b19616405,pdm,218
b19290949,https://iiif.wellcomecollection.org/presentation/v2/b19290949,pdm,30
b19489699,https://iiif.wellcomecollection.org/presentation/v2/b19489699,pdm,229
b19209113,https://iiif.wellcomecollection.org/presentation/v2/b19209113,pdm,162
b19672676,https://iiif.wellcomecollection.org/presentation/v2/b19672676,pdm,467
b18932502,https://iiif.wellcomecollection.org/presentation/v2/b18932502,pdm,131
b19719838,https://iiif.wellcomecollection.org/presentation/v2/b19719838,pdm,264
b19338685,https://iiif.wellcomecollection.org/presentation/v2/b19338685,pdm,304
b18370135,https://iiif.wellcomecollection.org/presentation/v2/b18370135,pdm,148
b19684903,https://iiif.wellcomecollection.org/presentation/v2/b19684903,pdm,327
b18771531,https://iiif.wellcomecollection.org/presentation/v2/b18771531,pdm,588
b1926687x,https://iiif.wellcomecollection.org/presentation/v2/b1926687x,pdm,178
b19745588,https://iiif.wellcomecollection.org/presentation/v2/b19745588,pdm,316
b32892366,https://iiif.wellcomecollection.org/presentation/v2/b32892366,pdm,646
b19270495,https://iiif.wellcomecollection.org/presentation/v2/b19270495,pdm,274
b33232805,https://iiif.wellcomecollection.org/presentation/v2/b33232805,pdm,1
b32274580,https://iiif.wellcomecollection.org/presentation/v2/b32274580,pdm,80
b33240085,https://iiif.wellcomecollection.org/presentation/v2/b33240085,pdm,1
b33231254,https://iiif.wellcomecollection.org/presentation/v2/b33231254,pdm,1
b33240231,https://iiif.wellcomecollection.org/presentation/v2/b33240231,pdm,1
b33372135,https://iiif.wellcomecollection.org/presentation/v2/b33372135,pdm,1
b33511457,https://iiif.wellcomecollection.org/presentation/v2/b33511457,pdm,1
b20296976,https://iiif.wellcomecollection.org/presentation/v2/b20296976,pdm,66
